lifecycles,status,completions,runtime
1,NOT MEASURED; stopped on P7,NOT MEASURED,NOT MEASURED
2,NOT MEASURED; stopped on P7,NOT MEASURED,NOT MEASURED
5,NOT MEASURED; stopped on P7,NOT MEASURED,NOT MEASURED
10,NOT MEASURED; stopped on P7,NOT MEASURED,NOT MEASURED
